base_name,rp,n_experiment,time_to_cluster_mean,time_to_read_mean,time_to_create_mean,time_to_solve_mean,time_to_save_mean,total_time_mean,rel_regret_mean,num_loss_of_load_e_demand_mean,loss_of_load_e_demand_mean
convex_per,150,5,16.9757342,0.6498372,1.2383934,0.3604495,0.1155875,19.340001800000003,0.04231949772329509,11.0,0.0836493232149973
convex_per,300,5,37.2108607,0.6487829,1.4913085,0.9290844,0.2006901,40.480726600000004,0.043442018044189644,12.0,0.08562613047979628
convex_per,450,5,54.555936,0.8519571,2.2388381,1.5146295,0.2897308,59.451091500000004,0.04404859513305958,12.0,0.086730929077945
conicalb_cross,20,5,21.1443286,0.4387834,0.8169157,0.0261166,0.0236536,22.4497979,5.204428141099657,386.0,9.73909718466821
conicalb_cross,40,5,34.2070695,0.4939347,0.8951504,0.0678701,0.0372817,35.7013064,0.03756196227884652,11.0,0.07453879233176575
conicalb_cross,60,5,48.0523622,0.570088,0.9332578,0.1255389,0.0462734,49.727520299999995,0.03930928766999424,11.0,0.07779876834750432
conicalb_cross,80,5,58.8024293,0.4780704,0.8436299,0.2219004,0.057668,60.403698000000006,0.04109872473036316,11.0,0.08103770430607526
conicalb_cross,100,5,67.0311657,0.4944644,1.0748375,0.359304,0.0738384,69.03361,0.04158541603910073,11.0,0.08191170566111472
conicalb_cross,150,5,96.0673621,0.5457561,1.1147287,0.5577327,0.1025991,98.38817870000001,0.04282184929027028,11.0,0.08417589542454285
conicalb_cross,300,5,194.2661267,0.7827483,1.6732228,1.0185054,0.3751848,198.115788,0.10218736380393341,16.0,0.19438004444461066
conicalb_cross,450,5,328.4316466,1.0392926,2.1890389,2.261268,0.3043027,334.2255488,0.012162136795837546,6.0,0.02472904140366694
conicalb_per,20,5,5.4112874,0.449116,0.833183,0.0337105,0.0236495,6.7509464,4.633238722719507,303.0,8.640619912258616
conicalb_per,40,5,6.0454074,0.5393516,1.0028622,0.0528837,0.038396,7.6789008999999995,2.2066903942953977,194.0,4.139948057425806
conicalb_per,60,5,8.6488408,0.5441035,1.0008037,0.1448876,0.0505674,10.389203000000002,0.03487048755096891,10.0,0.0701056735729475
conicalb_per,80,5,12.2864397,0.4708786,0.7872899,0.1828324,0.0612001,13.788640700000002,0.03665169831131119,10.0,0.07305934579375961
conicalb_per,100,5,13.3332681,0.4925557,0.9067835,0.3042664,0.0752076,15.1120813,0.03664442505093531,10.0,0.07290204226292651
conicalb_per,150,5,18.5540649,0.6285076,1.0936735,0.5011119,0.1038189,20.881176800000002,0.16230945491203153,19.0,0.30693715805654076
conicalb_per,300,5,38.7136888,0.6610209,1.4248892,0.9855832,0.2009739,41.986156,0.16709256703171396,19.0,0.3157372778966252
conicalb_per,450,5,54.1902259,0.8349789,2.2610546,1.9908865,0.294163,59.571308900000005,0.16733285677254445,19.0,0.3162852667113576
0_HourlyBenchmark,1,6,0.0,5.3029941,13.6258885,20.8809811,3.4892953,43.299159,0.0,0.0,0.0
convex_cross,20,6,20.2510949,0.440471,0.8511865,0.0253405,0.0223678,21.590460699999998,3.2217665468163155,223.0,6.071108553173931
convex_cross,40,6,31.21729,0.4832586,0.9100427,0.0519859,0.0336413,32.69621849999999,2.060405880450657,160.0,3.890699697676414
convex_cross,60,6,44.6752432,0.4560885,0.8265688,0.0877171,0.0451583,46.09077589999999,2.0599766301902642,160.0,3.889930536821139
convex_cross,80,6,57.8033865,0.5581655,1.3329665,0.1894205,0.0743913,59.9583303,2.0592005185136166,161.0,3.8886830953786604
convex_cross,100,6,69.5575934,0.5818095,1.2148792,0.2393527,0.073874,71.66750880000001,2.0537541406569457,161.0,3.878557567872571
convex_cross,150,6,92.0613921,0.5609274,1.2154851,0.4976902,0.1071823,94.4426771,0.6018686034841515,68.0,1.145871077014447
convex_cross,300,6,194.6019378,0.8540948,1.7664507,0.9992243,0.2063797,198.42808730000004,0.0331738638484379,7.0,0.06841976931406313
convex_cross,450,6,312.9652531,1.1496256,2.39852,1.6702949,0.5460737,318.7297673,0.03288976238620413,7.0,0.06817665778037418
convex_per,20,6,3.346673,0.4298657,0.7924379,0.0365565,0.0254894,4.631022499999999,103.53648896824875,2862.0,194.0786891173854
convex_per,40,6,4.5376565,0.544721,1.0467291,0.0543445,0.0381095,6.2215606,1.777657542101289,133.0,3.360264251744834
convex_per,60,6,7.2412136,0.5791186,1.1243577,0.1043537,0.0555302,9.1045738,1.7873421113907797,134.0,3.378604964944384
convex_per,80,6,11.5341772,0.5498554,0.8520989,0.1844313,0.0557736,13.1763364,1.7762096893921218,133.0,3.357315506410541
convex_per,100,6,12.1769141,0.540778,1.1017345,0.2381522,0.0764034,14.1339822,1.1485436370980582,80.0,2.1757887820208697
convex_per,150,6,17.8894302,0.6563811,1.2835261,0.4032142,0.1217238,20.354275400000002,0.9145699021630972,57.0,1.7334620293272058
convex_per,300,6,39.5076906,0.7462719,1.5244753,1.0477976,0.2037371,43.0299725,0.9191700695041577,57.0,1.7420066850588607
convex_per,450,6,55.2413801,0.8859576,2.2581243,1.5115979,0.3262939,60.2233538,0.4850623683039433,38.0,0.926060842122741
conicalb_cross,20,6,23.6311567,0.4641567,0.8799323,0.0287429,0.0262796,25.0302682,0.31108501962534807,34.0,0.5962399889903067
conicalb_cross,40,6,35.010136,0.5981676,1.2102777,0.0758109,0.0414526,36.9358448,0.31209833437404616,34.0,0.598767342743457
conicalb_cross,60,6,48.6493146,0.4705082,0.8850382,0.1220282,0.0488088,50.175698,0.3113832258603679,34.0,0.5973321584334823
conicalb_cross,80,6,59.0016145,0.5714256,1.0070995,0.205309,0.0570978,60.8425464,0.3114301242313473,34.0,0.5975225590094007
conicalb_cross,100,6,72.6880452,0.5984896,1.2196989,0.2818152,0.0815845,74.8696334,0.30857913113596613,34.0,0.5916755696130309
conicalb_cross,150,6,96.6349451,0.5437182,1.1093248,0.5206246,0.116111,98.9247237,0.3082183762160923,34.0,0.5910767832516226
conicalb_cross,300,6,195.733706,0.8971154,1.9341881,1.0882691,0.2094741,199.8627527,0.033800862071761174,7.0,0.06910520502545836
conicalb_cross,450,6,307.3568489,1.0879995,3.3650877,1.5812274,0.3140851,313.7052486,0.03385888920557989,7.0,0.06933454562599528
conicalb_per,20,6,5.599188,0.4266917,0.7700845,0.0352147,0.0226446,6.8538235,6.9733592945245295,437.0,13.105547082500973
conicalb_per,40,6,6.2992289,0.5637067,1.1945426,0.0727382,0.0437047,8.1739211,0.6600118097817932,70.0,1.255442819058045
conicalb_per,60,6,9.6655128,0.5899185,1.073158,0.1467794,0.0642781,11.539646799999998,0.07621252555842592,8.0,0.1520342915720283
conicalb_per,80,6,13.328738,0.478718,0.9559432,0.1815851,0.059202,15.0041863,0.07626690308342428,9.0,0.15221881343578958
conicalb_per,100,6,14.2128052,0.5384218,0.9868493,0.3717675,0.0816993,16.1915431,0.07613885309015855,8.0,0.15203429157202675
conicalb_per,150,6,20.766409,0.7061511,1.1859578,0.4690282,0.1069445,23.2344906,0.07647377880034291,9.0,0.1524961971652632
