base_name,rp,n_experiment,solver,time_to_cluster,time_to_read,time_to_create,time_to_solve,time_to_save,objective_value,termination_status,reduced_num_lol,reduced_lol,num_constraints,num_variables,time_to_resolve_benchmark,objective_value_resolve_benchmark,termination_status_resolve_benchmark,num_loss_of_load_e_demand,loss_of_load_e_demand
convex_cross,60,4,Gurobi,45.9370709,0.4377357,0.8057367,0.1450726,0.0514787,558.1344054937645,OPTIMAL,0,0.0,10080,8645,0.1570143,948.7149299135777,OPTIMAL,66,1.3103602151860383
convex_cross,80,4,Gurobi,59.5609465,0.5152493,0.9668947,0.2789517,0.0640278,557.1162607034879,OPTIMAL,0,0.0,13440,11525,0.0660995,948.7149299135777,OPTIMAL,66,1.3103602151860383
convex_cross,100,4,Gurobi,74.0456258,0.5017334,1.0546866,0.2890925,0.071486,551.5177140488171,OPTIMAL,0,0.0,16800,14405,0.1787466,950.0703996160271,OPTIMAL,66,1.3151795199348102
convex_cross,150,4,Gurobi,98.2127353,0.5077858,0.9932568,0.609136,0.1104564,553.0012931809509,OPTIMAL,0,0.0,25200,21605,0.28056,949.4312529792471,OPTIMAL,66,1.313304488554863
convex_cross,300,4,Gurobi,203.2868016,0.8463858,1.7667741,0.9983133,0.2080654,556.3268739052764,OPTIMAL,0,0.0,50400,43205,0.1557631,951.1782280194898,OPTIMAL,66,1.3190695109807402
convex_cross,450,4,Gurobi,349.9817215,1.0231109,2.3572094,2.3803381,0.3222382,557.3380050972607,OPTIMAL,0,0.0,75600,64805,0.2075518,642.1964566062167,OPTIMAL,24,0.28495366147422296
convex_per,20,4,Gurobi,3.4591702,0.4144434,0.7707773,0.0308831,0.029876,505.41213107343395,OPTIMAL,0,0.0,3360,2885,0.2959977,594.4983510254947,OPTIMAL,6,0.0686665730594076
convex_per,40,4,Gurobi,4.6070329,0.4668114,0.8911522,0.0593796,0.0367952,531.5487207506839,OPTIMAL,0,0.0,6720,5765,0.2383255,942.7559383863489,OPTIMAL,66,1.2909747365638449
convex_per,60,4,Gurobi,7.098723,0.5251928,0.9675943,0.1015456,0.051966,542.993383679442,OPTIMAL,0,0.0,10080,8645,0.1521358,766.1875897462911,OPTIMAL,42,0.7009211727088707
convex_per,80,4,Gurobi,11.8740267,0.480011,0.8658455,0.1882473,0.0630569,550.6692613385461,OPTIMAL,0,0.0,13440,11525,0.1441795,950.7094144936501,OPTIMAL,66,1.3173925499790171
convex_per,100,4,Gurobi,12.1913018,0.5260063,0.9893068,0.3052279,0.0732516,552.5787720380798,OPTIMAL,0,0.0,16800,14405,0.1442758,949.8343344042528,OPTIMAL,66,1.3145584406707618
convex_per,150,4,Gurobi,19.1420922,0.6520112,1.1928233,0.3926955,0.2441559,554.390526264077,OPTIMAL,0,0.0,25200,21605,0.1436066,950.75031932258,OPTIMAL,66,1.3176189029385563
convex_per,300,4,Gurobi,40.5610496,0.8434794,1.7243665,0.9331214,0.3192603,556.2549434317052,OPTIMAL,0,0.0,50400,43205,0.147511,925.2596431389702,OPTIMAL,64,1.232329098989584
convex_per,450,4,Gurobi,56.0685717,0.8402732,2.3745641,1.6985911,0.3154091,557.9697800046459,OPTIMAL,0,0.0,75600,64805,0.1398005,642.7140858329506,OPTIMAL,25,0.2863203611081442
conicalb_cross,20,4,Gurobi,24.5303227,0.4409022,0.8409022,0.0260824,0.0218194,551.572234885312,OPTIMAL,0,0.0,3360,2885,0.1572598,948.6375408863473,OPTIMAL,66,1.3103602151860383
conicalb_cross,40,4,Gurobi,33.0875189,0.5242232,0.9571189,0.0706401,0.0348061,550.7459369037427,OPTIMAL,0,0.0,6720,5765,0.145494,949.5372089909328,OPTIMAL,66,1.313335416166055
conicalb_cross,60,4,Gurobi,45.8741731,0.5184419,0.9168707,0.1075523,0.0505521,549.8455223091537,OPTIMAL,0,0.0,10080,8645,0.140837,954.87583394103,OPTIMAL,67,1.330800377609101
conicalb_cross,80,4,Gurobi,56.8716351,0.4502741,0.8374496,0.2274473,0.0679944,549.0256736827448,OPTIMAL,0,0.0,13440,11525,0.1403987,953.1960583632082,OPTIMAL,67,1.325411163395799
conicalb_cross,100,4,Gurobi,65.9847578,0.462165,1.0135834,0.305176,0.0873556,548.4316328553426,OPTIMAL,0,0.0,16800,14405,0.1476021,958.2070901343028,OPTIMAL,67,1.341898439351596
conicalb_cross,150,4,Gurobi,89.9324217,0.5625554,1.2623882,0.4273759,0.108619,545.6848056394631,OPTIMAL,0,0.0,25200,21605,0.137149,955.2901726964799,OPTIMAL,67,1.3323636224555773
conicalb_cross,300,4,Gurobi,193.1878179,0.7850657,1.5964561,1.4466665,0.2026365,546.707910988146,OPTIMAL,0,0.0,50400,43205,0.1976792,961.7381932673374,OPTIMAL,67,1.3535413744505216
